timestep,E_mean,T_mean,C_mean,E_std,T_std,C_std
0,100.0,100.0,0.0,0.0,0.0,0.0
1,72.07,75.49,27.93,3.865889289671912,4.220177721376199,3.865889289671912
2,86.22,88.33,13.78,3.7029177684631334,5.501008998356573,3.7029177684631343
3,76.85,79.77,23.15,3.7692837515899495,5.163051423334851,3.7692837515899495
4,81.94,84.06,18.06,3.6519036131858673,5.947806318299207,3.651903613185869
5,79.2,81.7,20.8,3.7148351242013424,7.1140705647329625,3.7148351242013424
6,81.46,83.75,18.54,3.650808129715939,7.510492660272027,3.650808129715939
7,80.61,83.17,19.39,3.3313510772657997,8.513583264407533,3.3313510772657997
8,81.26,83.95,18.74,3.645874380721312,8.765129776563494,3.645874380721311
9,81.3,84.83,18.7,3.548238999842034,9.9449032172264,3.5482389998420336
10,81.48,85.24,18.52,3.645490364820624,10.024090981231165,3.645490364820624
11,81.72,85.36,18.28,4.317591921430279,10.43888882975578,4.317591921430279
12,81.93,85.77,18.07,3.6857970644081863,11.979027506438074,3.685797064408186
13,81.99,86.31,18.01,4.109732351382508,12.631464681500715,4.109732351382507
14,82.37,87.49,17.63,3.9589266222045563,13.176869886281796,3.958926622204557
15,83.02,88.96,16.98,3.8729317060851978,14.012794153915202,3.872931706085199
16,83.05,89.55,16.95,4.341370751272,14.133913117038752,4.341370751272
17,84.12,91.59,15.88,3.819109843929606,15.18031290850093,3.8191098439296045
18,83.63,91.85,16.37,3.938667287294013,15.653354273126252,3.9386672872940136
19,84.29,93.87,15.71,4.25745228980901,16.672525303624525,4.257452289809013
20,84.08,94.83,15.92,3.7247281780017176,16.854705574408595,3.724728178001717
21,84.43,96.69,15.57,3.970528932019007,17.267712645281073,3.9705289320190076
22,83.83,97.76,16.17,3.9167716297992152,18.682141204904756,3.9167716297992152
23,84.27,99.58,15.73,3.9896240424380838,19.435627080184474,3.9896240424380847
24,84.01,100.65,15.99,4.016204676059226,20.807390513949603,4.016204676059227
25,83.68,102.43,16.32,4.194949344151849,20.757290285584006,4.194949344151845
26,84.35,104.22,15.65,3.879110722833262,21.783287171590977,3.8791107228332624
27,84.22,106.13,15.78,3.5793295461580503,22.27314750995018,3.5793295461580503
28,84.07,107.99,15.93,4.104278255674193,23.467209037292864,4.104278255674194
29,83.99,109.72,16.01,3.637292949433684,24.200033057828655,3.6372929494336845
30,83.9,111.71,16.1,4.0410394702353525,25.259570463489677,4.04103947023535
31,83.96,114.23,16.04,3.8598445564556103,25.748730065772175,3.859844556455609
32,83.66,116.17,16.34,4.313281813190509,27.177216560935744,4.313281813190508
33,84.05,118.92,15.95,4.005933099790861,28.064098061402227,4.005933099790861
34,83.67,121.28,16.33,4.4001249982244826,28.98243606048325,4.4001249982244826
35,83.74,123.77,16.26,3.9156608637623354,30.50863975991064,3.9156608637623345
36,83.73,126.64,16.27,4.433632821964398,31.590986056152154,4.433632821964398
37,83.52,129.04,16.48,3.584633872517528,32.97511789213194,3.5846338725175264
38,83.87,132.01,16.13,4.328175135088694,34.276375245932876,4.328175135088694
39,83.75,134.73,16.25,3.81411850890871,35.18973003590678,3.81411850890871
40,84.26,138.43,15.74,4.151192599723601,36.63338777672631,4.151192599723601
41,83.91,142.02,16.09,3.849922077133509,37.5728572243315,3.8499220771335105
42,83.85,146.19,16.15,3.9379563227643857,40.78791365098245,3.9379563227643852
43,84.07,150.55,15.93,4.315680711081392,42.4585385994384,4.315680711081393
44,83.75,154.75,16.25,3.680692869555948,44.96228975486013,3.680692869555948
45,83.74,159.81,16.26,4.489142457084649,47.249697353528084,4.489142457084649
46,83.91,164.64,16.09,4.108758936710693,48.670015409901,4.108758936710695
47,83.82,169.25,16.18,4.045689063682479,50.77034075126934,4.0456890636824765
48,84.43,174.48,15.57,4.34109433207803,53.72084883916113,4.341094332078029
49,83.86,179.07,16.14,4.368111720182991,56.81271952652857,4.368111720182991
50,84.24,184.66,15.76,4.438738559545944,59.21067809103354,4.438738559545944
51,83.93,190.63,16.07,4.463754025481241,61.980425135682964,4.463754025481242
52,83.69,196.9,16.31,4.557839400417703,64.93850937617832,4.557839400417702
53,83.72,204.03,16.28,4.296696405379372,68.2046120141446,4.296696405379372
54,83.48,210.27,16.52,4.659356178701087,70.22618528725593,4.659356178701087
55,83.71,218.02,16.29,4.815173932476375,74.11126500067313,4.815173932476377
56,83.89,225.22,16.11,4.178265190243433,77.7337224118336,4.178265190243433
57,83.78,233.24,16.22,4.780334716314329,82.07424931121818,4.780334716314329
58,83.91,241.89,16.09,3.9877186460431227,86.1898944192415,3.987718646043124
59,82.7,248.27,17.3,5.193264869039514,89.59607748110405,5.193264869039514
60,83.36,258.32,16.64,4.281401639650268,94.15316032932725,4.281401639650268
61,83.13,268.0,16.87,4.995307798324346,99.0576599763996,4.995307798324344
62,82.69,277.39,17.31,4.881997541990369,102.91276840120472,4.881997541990367
63,83.07,288.21,16.93,4.6157447936384,108.12920928222864,4.6157447936384015
64,82.88,298.89,17.12,4.974494949238565,113.07562911609205,4.974494949238566
65,82.43,309.87,17.57,5.187012627707785,119.6383429340276,5.187012627707783
66,82.77,322.49,17.23,5.2208332668262845,123.58078289119226,5.220833266826284
67,82.21,334.87,17.79,5.426407651476251,129.54602695567317,5.426407651476251
68,82.68,348.55,17.32,5.449550440173943,135.06956540982873,5.449550440173943
69,81.47,360.67,18.53,5.492640530746574,141.5980970917335,5.492640530746574
70,82.04,375.72,17.96,5.3383892701825335,147.69699252185197,5.3383892701825335
71,81.67,390.89,18.33,5.459038376857227,155.28463510598849,5.459038376857227
72,82.13,406.97,17.87,5.617214612243333,161.44023383283363,5.617214612243331
73,81.38,423.01,18.62,5.668827039167803,169.52277103681382,5.668827039167804
74,81.4,440.29,18.6,5.94306318324145,175.76616824633803,5.943063183241451
75,81.55,459.38,18.45,5.6024548190949295,186.0133210283608,5.602454819094928
76,81.37,477.91,18.63,5.8560310791525,193.378649028273,5.856031079152499
77,80.75,496.39,19.25,5.70679419639433,203.86941384131168,5.70679419639433
78,81.07,516.39,18.93,5.970351748431576,213.57213746179534,5.970351748431578
79,80.77,537.8,19.23,6.072651809547457,225.2672190976752,6.072651809547457
80,80.44,561.1,19.56,5.894607705352408,236.09157121761035,5.894607705352409
81,80.14,585.35,19.86,6.264215832807808,246.51058293712256,6.264215832807808
82,80.4,611.53,19.6,6.024948132556826,258.5384480111227,6.024948132556828
83,80.02,637.73,19.98,5.770580560047663,270.3664496567575,5.770580560047662
84,79.99,665.04,20.01,6.483047123074146,283.5938969724137,6.483047123074148
85,79.43,693.28,20.57,6.45949688443303,298.0417111747952,6.459496884433028
86,80.12,723.4,19.88,6.299650783972073,311.55278846449113,6.299650783972076
87,79.0,752.91,21.0,6.788225099390856,326.17934008762734,6.788225099390856
88,80.04,787.77,19.96,6.2400641022348475,341.35951297715434,6.240064102234847
89,78.3,821.72,21.7,6.8898476035395735,357.82688775439993,6.889847603539573
90,79.86,859.3,20.14,6.174172009265695,375.746789740112,6.174172009265695
91,78.52,896.38,21.48,6.62944944923785,394.74976326782,6.629449449237849
92,79.04,937.05,20.96,6.903506355468937,412.7190176136786,6.903506355468938
93,78.29,978.86,21.71,6.941606442315783,434.4582147917104,6.941606442315784
94,78.19,1023.91,21.81,6.724128196279426,457.10885125974096,6.724128196279426
95,78.53,1070.3,21.47,6.933188299765123,478.7942668829692,6.933188299765123
96,78.11,1119.56,21.89,6.429455653474873,503.07089599777095,6.429455653474873
97,77.52,1170.61,22.48,7.319125630838702,527.9933123629504,7.319125630838701
98,78.07,1226.09,21.93,6.9401080683228535,553.3038603696887,6.940108068322856
99,77.02,1281.26,22.98,6.7468214738497405,579.0974809131877,6.74682147384974
100,77.83,1341.7,22.17,7.468674581209173,608.1024502499557,7.468674581209173
101,76.48,1403.49,23.52,6.815394339288081,639.4614217448931,6.815394339288081
102,77.35,1469.07,22.65,7.262747414030038,670.5909968826007,7.262747414030039
103,75.95,1538.12,24.05,7.087136234051101,704.8950741777106,7.0871362340510995
104,76.52,1608.64,23.48,7.701272622106038,739.7626987081735,7.701272622106038
105,76.24,1684.39,23.76,7.377153922753677,776.56013154166,7.377153922753677
106,75.95,1764.1,24.05,7.279251335130557,814.9170571291289,7.279251335130556
107,76.26,1848.04,23.74,6.973693426011786,853.239684027882,6.973693426011786
108,75.14,1935.62,24.86,7.368880511990951,894.8918681047447,7.368880511990951
109,76.39,2027.11,23.61,6.575553208666174,938.7230996944734,6.575553208666174
110,74.53,2121.3,25.47,7.754295583739376,984.4327249741344,7.754295583739376
111,75.7,2220.73,24.3,7.0802542327235685,1031.7627523321435,7.0802542327235685
112,74.46,2325.53,25.54,7.863103712911334,1083.2644132897565,7.863103712911332
113,75.05,2435.7,24.95,7.415355689378628,1135.801052121365,7.415355689378627
114,74.45,2551.28,25.55,8.16869022548903,1191.422495003347,8.16869022548903
115,74.14,2672.25,25.86,7.652476723257641,1249.986146923237,7.652476723257641
