,E,T,C
0,10000.0,10000.0,0.0
1,6003.0,6045.5,3997.0
2,4894.5,4938.5,5105.5
3,4577.0,4623.0,5423.0
4,4489.0,4528.5,5511.0
5,4463.0,4490.0,5537.0
6,4453.0,4478.0,5547.0
7,4431.0,4435.5,5569.0
8,4435.0,4442.5,5565.0
9,4436.5,4431.5,5563.5
10,4422.0,4416.5,5578.0
11,4432.5,4408.0,5567.5
12,4426.0,4400.5,5574.0
13,4428.0,4385.5,5572.0
14,4426.0,4378.5,5574.0
15,4437.0,4384.5,5563.0
16,4434.5,4370.5,5565.5
17,4430.5,4356.5,5569.5
18,4430.5,4347.0,5569.5
19,4436.0,4344.5,5564.0
20,4433.5,4337.5,5566.5
21,4424.0,4324.0,5576.0
22,4434.0,4322.0,5566.0
23,4431.0,4315.0,5569.0
24,4427.5,4299.5,5572.5
25,4426.0,4286.0,5574.0
26,4433.0,4289.0,5567.0
27,4438.5,4276.5,5561.5
28,4432.5,4261.0,5567.5
29,4425.5,4243.0,5574.5
30,4439.0,4244.0,5561.0
31,4432.5,4226.0,5567.5
32,4438.0,4226.0,5562.0
33,4436.5,4216.0,5563.5
34,4437.0,4204.0,5563.0
35,4438.5,4201.5,5561.5
36,4440.5,4185.0,5559.5
37,4439.5,4173.0,5560.5
38,4446.0,4171.5,5554.0
39,4443.5,4164.0,5556.5
40,4445.5,4160.0,5554.5
41,4443.0,4149.0,5557.0
42,4453.0,4140.0,5547.0
43,4448.0,4129.5,5552.0
44,4452.5,4127.0,5547.5
45,4440.0,4101.0,5560.0
46,4447.0,4096.0,5553.0
47,4443.0,4086.0,5557.0
48,4458.0,4074.0,5542.0
49,4448.5,4066.0,5551.5
50,4459.0,4065.5,5541.0
51,4459.0,4050.0,5541.0
52,4456.5,4026.5,5543.5
53,4455.5,4030.0,5544.5
54,4455.5,4016.0,5544.5
55,4465.5,4010.5,5534.5
56,4470.5,4015.5,5529.5
57,4454.5,3982.0,5545.5
58,4463.5,3975.5,5536.5
59,4460.5,3967.5,5539.5
60,4460.0,3950.0,5540.0
61,4473.5,3947.0,5526.5
62,4467.0,3938.5,5533.0
63,4479.5,3921.0,5520.5
64,4481.0,3925.0,5519.0
65,4473.5,3922.5,5526.5
66,4477.5,3893.0,5522.5
67,4475.0,3880.0,5525.0
68,4482.0,3877.0,5518.0
69,4479.5,3866.5,5520.5
70,4474.0,3849.5,5526.0
71,4473.5,3834.5,5526.5
72,4480.5,3829.5,5519.5
73,4487.5,3823.5,5512.5
74,4486.5,3813.5,5513.5
75,4481.0,3803.5,5519.0
76,4485.0,3792.5,5515.0
77,4487.0,3796.0,5513.0
78,4481.0,3770.0,5519.0
79,4501.0,3754.5,5499.0
80,4496.5,3762.5,5503.5
81,4487.5,3726.5,5512.5
82,4501.0,3729.5,5499.0
83,4499.5,3711.0,5500.5
84,4509.5,3699.0,5490.5
85,4512.0,3679.5,5488.0
86,4505.5,3667.5,5494.5
87,4510.0,3672.5,5490.0
88,4510.0,3654.0,5490.0
89,4508.0,3647.5,5492.0
90,4515.5,3637.0,5484.5
91,4516.5,3635.0,5483.5
92,4508.5,3602.0,5491.5
93,4509.5,3602.5,5490.5
94,4526.5,3586.0,5473.5
95,4527.0,3579.5,5473.0
96,4526.5,3568.0,5473.5
