Effectors,Tars_per_well,E:T,Mean Result,SD,CV%,SE
CAR,5000,20,73.67690359,1.279856639,1.737120558,0.904995308
CAR,5000,10,68.98757259,3.462387774,5.018857229,2.448277874
CAR,5000,5,63.99853864,4.818830688,7.529594879,3.407427857
CAR,5000,2.5,55.05117024,2.202943688,4.001629171,1.55771642
CAR,5000,1.25,37.85819069,2.885548884,7.621993635,2.040391183
CAR,5000,0.625,21.9919566,3.677259829,16.72093073,2.600215361
CAR,10000,20,78.7155531,1.742235012,2.213330077,1.231946192
CAR,10000,10,77.94770284,2.025195661,2.598146689,1.432029585
CAR,10000,5,73.91007301,7.885710306,10.66933096,5.576039232
CAR,10000,2.5,76.97935282,1.810104763,2.351415928,1.279937353
CAR,10000,1.25,62.04035474,2.610981325,4.208520946,1.8462426
CAR,10000,0.625,40.7665727,0.299601799,0.734920253,0.211850464
CAR,20000,20,57.62733837,1.635636123,2.838298921,1.156569394
CAR,20000,10,51.94202623,1.905250964,3.668033579,1.347215876
CAR,20000,5,54.79481263,0.2677621,0.488663227,0.189336396
CAR,20000,2.5,54.42795223,1.579010498,2.90110216,1.116529031
CAR,20000,1.25,51.42052664,2.001221092,3.891872026,1.415077005
CAR,20000,0.625,40.26213643,2.554823903,6.345475251,1.806533307
UTD,10000,20,10.28069186,4.14734367,40.341095,2.932614833
UTD,10000,10,4.129340512,0.82687764,20.02444792,0.584690786
UTD,10000,5,3.252709211,1.051444057,32.32517844,0.743483222
UTD,10000,2.5,2.435798848,2.845843331,116.8340864,2.012315117
UTD,10000,1.25,1.341608687,0.354268876,26.40627475,0.250505925
UTD,10000,0.625,-2.97542861,0.761891436,-25.60610706,0.538738601
