T_initial,?,ET_ratio,E_initial,,,
5000,27691.79,20,100000,,,
5000,27338.47,10,50000,,,
5000,26716.84,5,25000,,,
5000,23329.75,2.5,12500,,,
5000,19007.55,1.25,6250,,,
5000,15822.36,0.625,3125,,,
5000,27415.51,20,100000,,,
5000,26716.84,10,50000,,,
5000,24668.64,5,25000,,,
5000,23659.16,2.5,12500,,,
5000,18351.39,1.25,6250,,,
5000,15580.61,0.625,3125,,,
5000,28034.48,20,100000,,,
5000,25678.13,10,50000,,,
5000,24721.77,5,25000,,,
5000,22615.14,2.5,12500,,,
5000,19748.73,1.25,6250,,,
5000,14172.65,0.625,3125,,,
10000,51162.33,20,200000,,,
10000,50737.28,10,100000,,,
10000,46223.82,5,50000,,,
10000,52004.45,2.5,25000,,,
10000,44563.48,1.25,12500,,,
10000,36259.13,0.625,6250,,,
10000,52429.5,20,200000,,,
10000,51943.36,10,100000,,,
10000,51789.27,5,50000,,,
10000,51321.72,2.5,25000,,,
10000,44340.33,1.25,12500,,,
10000,36357.42,0.625,6250,,,
10000,52400.28,20,200000,,,
10000,52355.12,10,100000,,,
10000,51993.83,5,50000,,,
10000,50503.51,2.5,25000,,,
10000,46319.45,1.25,12500,,,
10000,36110.37,0.625,6250,,,
20000,86544.81,20,400000,,,
20000,82894.71,10,200000,,,
20000,83354.3,5,100000,,,
20000,84122.04,2.5,50000,,,
20000,81800.22,1.25,25000,,,
20000,73750.9,0.625,12500,,,
20000,86908.75,20,400000,,,
20000,79746.71,10,200000,,,
20000,83649.17,5,100000,,,
20000,83975.93,2.5,50000,,,
20000,81709.9,1.25,25000,,,
20000,69524.34,0.625,12500,,,
20000,84395.66,20,400000,,,
20000,81045.77,10,200000,,,
20000,83789.97,5,100000,,,
20000,81781.63,2.5,50000,,,
20000,78878.02,1.25,25000,,,
20000,71317.51,0.625,12500,,,
