Time,tumor_cells_E1,tumor_cells_E2,tumor_cells_F1,tumor_cells_F2,tumor_cells_G1,tumor_cells_G2,CART_cells_E1,CART_cells_E2,CART_cells_F1,CART_cells_F2,CART_cells_G1,CART_cells_G2
32.09,15155,13702,14641,13548,12500,13422,500,500,1250,1250,2500,2500
32.34,15198,14075,14825,13683,12693,13758,,,,,,
32.59,15367,14254,15065,13843,12920,14266,,,,,,
32.84,15719,14616,15256,14035,13266,14547,,,,,,
33.09,15974,14800,15580,14205,13654,14932,,,,,,
33.34,16266,15044,15792,14556,14067,15224,,,,,,
33.59,16596,15447,16156,14921,14370,15482,,,,,,
33.84,16863,15625,16583,15319,14834,16000,,,,,,
34.09,17149,15787,16987,15670,15315,16368,,,,,,
34.34,17289,15974,17250,15968,15720,16684,,,,,,
34.59,17604,16189,17645,16369,16097,17070,,,,,,
34.84,17912,16500,18009,16676,16651,17444,,,,,,
35.09,18224,16868,18418,17020,17103,17920,,,,,,
35.34,18595,17337,18934,17508,17391,18402,,,,,,
35.59,18835,17653,19429,17830,17795,18976,,,,,,
35.84,19174,18042,19986,18092,18199,19462,,,,,,
36.09,19416,18452,20424,18392,18690,19946,,,,,,
36.34,19747,18818,20828,18908,18994,20336,,,,,,
36.59,20042,19315,21112,19266,19531,20780,,,,,,
36.84,20481,19569,21495,19816,19939,21006,,,,,,
37.09,20828,19986,22019,20268,20475,21250,,,,,,
37.34,21069,20299,22467,20462,20752,21402,,,,,,
37.59,21549,20446,23105,20906,21006,21504,,,,,,
37.84,22038,20769,23683,21284,21329,21614,,,,,,
38.09,22581,21159,24172,21708,21438,21776,,,,,,
38.34,23132,21584,24679,22176,21891,22104,,,,,,
38.59,23589,22060,25129,22686,22234,22420,,,,,,
38.84,24068,22533,25540,23226,22635,22676,,,,,,
39.09,24453,23007,26167,23766,22823,22818,,,,,,
39.34,24932,23469,26566,24338,23013,23074,,,,,,
39.59,25324,24069,27205,24862,23157,23456,,,,,,
39.84,25759,24766,27807,25366,23063,23504,,,,,,
40.09,26408,25305,28293,25778,23114,23618,,,,,,
40.34,26912,25959,28883,26232,23287,23720,,,,,,
40.59,27443,26523,29353,26762,23260,23880,,,,,,
40.84,27909,27178,29788,27174,23339,24031,,,,,,
41.09,28438,27744,30295,27688,23279,24088,,,,,,
41.34,29050,28430,30669,28017,23206,24048,,,,,,
41.59,29638,29106,30964,28310,23051,23932,,,,,,
41.84,30267,29427,31456,28774,23041,23876,,,,,,
42.09,30788,29984,31680,29074,23003,23934,,,,,,
42.34,31001,30551,32204,29388,22854,23904,,,,,,
42.59,31418,30988,32472,29522,22723,23894,,,,,,
42.84,31738,31608,32599,29938,22555,23712,,,,,,
43.09,32082,32042,32667,30235,22264,23747,,,,,,
43.34,32603,32406,33104,30574,22198,23636,,,,,,
43.59,32941,32835,33396,30872,22079,23432,,,,,,
43.84,33154,33343,33689,31262,21922,23200,,,,,,
44.09,33417,33640,33893,31382,21715,23162,,,,,,
44.34,33611,34043,33978,31518,21617,22962,,,,,,
44.59,33931,34303,33957,31558,21228,22692,,,,,,
44.84,34354,34476,34052,31736,20982,22358,,,,,,
45.09,34784,34877,34015,31750,20937,22112,,,,,,
45.34,34889,35360,34073,31929,20798,21986,,,,,,
45.59,35256,36154,34230,32004,20624,21906,,,,,,
45.84,35543,36556,34295,32028,20374,21814,,,,,,
46.09,35885,37129,34447,31938,20167,21592,,,,,,
46.34,36196,37640,34373,31816,19891,21456,,,,,,
46.59,36503,37970,34165,31936,19688,21134,,,,,,
46.84,36757,38199,33833,31876,19501,20920,,,,,,
47.09,36978,38436,34008,31688,19339,20646,,,,,,
47.34,37150,38762,33992,31418,19102,20536,,,,,,
47.59,37551,39038,33860,31352,18800,20286,,,,,,
47.84,37723,39274,33840,31386,18648,20034,,,,,,
48.09,37842,39530,33701,31354,18268,19738,,,,,,
48.34,37988,39764,33653,31408,17898,19560,,,,,,
48.59,38360,40037,33603,31526,17661,19260,,,,,,
48.84,38632,40209,33482,31316,17498,19064,,,,,,
49.09,38968,40492,33368,31262,17293,18754,,,,,,
49.34,39011,40974,33519,31298,16997,18676,,,,,,
49.59,39331,41187,33476,31286,16707,18476,,,,,,
49.84,39404,41279,33360,31292,16442,18154,,,,,,
50.09,39471,41498,33282,31146,16290,17906,,,,,,
50.34,39370,41727,33211,30938,16100,17776,,,,,,
50.59,39310,41826,33003,30710,15859,17672,,,,,,
50.84,39440,41755,32824,30554,15576,17350,,,,,,
51.09,39462,41610,32660,30462,15253,17142,,,,,,
51.34,39675,41790,32344,30074,14912,16874,,,,,,
51.59,39654,42190,32242,29886,14696,16648,,,,,,
51.84,39732,42005,32129,29798,14455,16388,,,,,,
52.09,39822,42338,31987,29748,14194,16150,,,,,,
52.34,39909,42239,31789,29612,14020,15978,,,,,,
52.59,39989,42557,31491,29372,13827,15648,,,,,,
